id,timestamp,test_field,_rid,_self,_etag,_attachments,_ts,route_origin,route_destination,traffic_route,traffic_duration,weather_temperature,weather_conditions,weather_rain,weather_snow,new_field_1,new_field_2,new_field_3,array_field,nested_field.sub_field_1,nested_field.sub_field_2,nested_field.sub_field_3,traffic_data.route,traffic_data.duration_in_traffic,weather_data.temperature,weather_data.weather_conditions,weather_data.rain,weather_data.snow,air_quality_data.air_quality_index,air_quality_data.components.co,air_quality_data.components.no,air_quality_data.components.no2,air_quality_data.components.o3,air_quality_data.components.so2,air_quality_data.components.pm2_5,air_quality_data.components.pm10,air_quality_data.components.nh3,route_name
data-2024-12-01T14:09:38.590184-Route 3,2024-12-01T14:09:38.590192,,hCl+AN3ccB9jAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9jAAAAAAAAAA==/,"""a804597a-0000-1100-0000-674c6e220000""",attachments/,1733062178,,,,,,,,,,,,,,,,A102,1914,285.77,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:10:39.787251-Route 1,2024-12-01T14:10:39.787260,,hCl+AN3ccB9kAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9kAAAAAAAAAA==/,"""a8047689-0000-1100-0000-674c6e5f0000""",attachments/,1733062239,,,,,,,,,,,,,,,,A40,1545,285.86,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:10:40.450057-Route 2,2024-12-01T14:10:40.450065,,hCl+AN3ccB9lAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9lAAAAAAAAAA==/,"""a8049489-0000-1100-0000-674c6e600000""",attachments/,1733062240,,,,,,,,,,,,,,,,Western Ave/A40,2315,285.87,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:10:40.863799-Route 3,2024-12-01T14:10:40.863806,,hCl+AN3ccB9mAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9mAAAAAAAAAA==/,"""a804a789-0000-1100-0000-674c6e600000""",attachments/,1733062240,,,,,,,,,,,,,,,,A102,1964,285.77,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:11:42.148746-Route 1,2024-12-01T14:11:42.148753,,hCl+AN3ccB9nAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9nAAAAAAAAAA==/,"""a804b798-0000-1100-0000-674c6e9e0000""",attachments/,1733062302,,,,,,,,,,,,,,,,A40,1540,285.86,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:11:42.965822-Route 2,2024-12-01T14:11:42.965830,,hCl+AN3ccB9oAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9oAAAAAAAAAA==/,"""a8040c99-0000-1100-0000-674c6e9e0000""",attachments/,1733062302,,,,,,,,,,,,,,,,Western Ave/A40,2335,285.87,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:11:43.427478-Route 3,2024-12-01T14:11:43.427485,,hCl+AN3ccB9pAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9pAAAAAAAAAA==/,"""a8042899-0000-1100-0000-674c6e9f0000""",attachments/,1733062303,,,,,,,,,,,,,,,,A102,1951,285.77,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:12:44.824203-Route 1,2024-12-01T14:12:44.824210,,hCl+AN3ccB9qAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9qAAAAAAAAAA==/,"""a804c4a7-0000-1100-0000-674c6edc0000""",attachments/,1733062364,,,,,,,,,,,,,,,,A40,1504,285.86,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:12:45.629860-Route 2,2024-12-01T14:12:45.629866,,hCl+AN3ccB9rAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9rAAAAAAAAAA==/,"""a804eaa7-0000-1100-0000-674c6edd0000""",attachments/,1733062365,,,,,,,,,,,,,,,,Western Ave/A40,2403,285.87,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:12:46.068555-Route 3,2024-12-01T14:12:46.068561,,hCl+AN3ccB9sAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9sAAAAAAAAAA==/,"""a80404a8-0000-1100-0000-674c6ede0000""",attachments/,1733062366,,,,,,,,,,,,,,,,A102,1981,285.77,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
