id,timestamp,test_field,_rid,_self,_etag,_attachments,_ts,route_origin,route_destination,traffic_route,traffic_duration,weather_temperature,weather_conditions,weather_rain,weather_snow,new_field_1,new_field_2,new_field_3,array_field,nested_field.sub_field_1,nested_field.sub_field_2,nested_field.sub_field_3,traffic_data.route,traffic_data.duration_in_traffic,weather_data.temperature,weather_data.weather_conditions,weather_data.rain,weather_data.snow,air_quality_data.air_quality_index,air_quality_data.components.co,air_quality_data.components.no,air_quality_data.components.no2,air_quality_data.components.o3,air_quality_data.components.so2,air_quality_data.components.pm2_5,air_quality_data.components.pm10,air_quality_data.components.nh3,route_name
data-2024-12-02T01:38:36.392265-Route 3,2024-12-02T01:38:36.392274,,hCl+AN3ccB-yAQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-yAQAAAAAAAA==/,"""cd04eca3-0000-1100-0000-674d0f9c0000""",attachments/,1733103516,,,,,,,,,,,,,,,,A102,924,285,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:39:37.328993-Route 1,2024-12-02T01:39:37.329012,,hCl+AN3ccB-zAQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-zAQAAAAAAAA==/,"""cd0447b4-0000-1100-0000-674d0fd90000""",attachments/,1733103577,,,,,,,,,,,,,,,,A4 and A315,1026,285.1,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:39:38.006828-Route 2,2024-12-02T01:39:38.006839,,hCl+AN3ccB-0AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-0AQAAAAAAAA==/,"""cd0468b4-0000-1100-0000-674d0fda0000""",attachments/,1733103578,,,,,,,,,,,,,,,,M4,1641,284.6,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:39:38.419587-Route 3,2024-12-02T01:39:38.419596,,hCl+AN3ccB-1AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-1AQAAAAAAAA==/,"""cd047eb4-0000-1100-0000-674d0fda0000""",attachments/,1733103578,,,,,,,,,,,,,,,,A102,926,285,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:40:39.644170-Route 1,2024-12-02T01:40:39.644182,,hCl+AN3ccB-2AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-2AQAAAAAAAA==/,"""cd041bbf-0000-1100-0000-674d10170000""",attachments/,1733103639,,,,,,,,,,,,,,,,A4 and A315,1026,285.1,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:40:40.432260-Route 2,2024-12-02T01:40:40.432271,,hCl+AN3ccB-3AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-3AQAAAAAAAA==/,"""cd0430bf-0000-1100-0000-674d10180000""",attachments/,1733103640,,,,,,,,,,,,,,,,M4,1634,284.6,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:40:40.840400-Route 3,2024-12-02T01:40:40.840408,,hCl+AN3ccB-4AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-4AQAAAAAAAA==/,"""cd0451bf-0000-1100-0000-674d10180000""",attachments/,1733103640,,,,,,,,,,,,,,,,A102,928,285,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:41:41.911088-Route 1,2024-12-02T01:41:41.911109,,hCl+AN3ccB-5AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-5AQAAAAAAAA==/,"""cd0458cb-0000-1100-0000-674d10550000""",attachments/,1733103701,,,,,,,,,,,,,,,,A4 and A315,1036,285.1,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:41:42.731200-Route 2,2024-12-02T01:41:42.731223,,hCl+AN3ccB-6AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-6AQAAAAAAAA==/,"""cd047bcb-0000-1100-0000-674d10560000""",attachments/,1733103702,,,,,,,,,,,,,,,,M4,1632,284.6,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:41:43.118750-Route 3,2024-12-02T01:41:43.118765,,hCl+AN3ccB-7AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-7AQAAAAAAAA==/,"""cd0496cb-0000-1100-0000-674d10570000""",attachments/,1733103703,,,,,,,,,,,,,,,,A102,920,285,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:42:44.443562-Route 1,2024-12-02T01:42:44.443581,,hCl+AN3ccB-8AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-8AQAAAAAAAA==/,"""cd0476d9-0000-1100-0000-674d10940000""",attachments/,1733103764,,,,,,,,,,,,,,,,A4 and A315,1032,285.1,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:42:45.380893-Route 2,2024-12-02T01:42:45.380920,,hCl+AN3ccB-9AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-9AQAAAAAAAA==/,"""cd048dd9-0000-1100-0000-674d10950000""",attachments/,1733103765,,,,,,,,,,,,,,,,M4,1636,284.6,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:42:45.868045-Route 3,2024-12-02T01:42:45.868062,,hCl+AN3ccB-+AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB-+AQAAAAAAAA==/,"""cd04a7d9-0000-1100-0000-674d10950000""",attachments/,1733103765,,,,,,,,,,,,,,,,A102,923,284.91,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:43:46.932919-Route 1,2024-12-02T01:43:46.932930,,hCl+AN3ccB--AQAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB--AQAAAAAAAA==/,"""cd04f6e3-0000-1100-0000-674d10d20000""",attachments/,1733103826,,,,,,,,,,,,,,,,A4 and A315,1024,285.1,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:43:47.764938-Route 2,2024-12-02T01:43:47.764948,,hCl+AN3ccB8AAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8AAgAAAAAAAA==/,"""cd0420e4-0000-1100-0000-674d10d30000""",attachments/,1733103827,,,,,,,,,,,,,,,,M4,1632,284.6,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:43:48.167889-Route 3,2024-12-02T01:43:48.167898,,hCl+AN3ccB8BAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8BAgAAAAAAAA==/,"""cd0431e4-0000-1100-0000-674d10d40000""",attachments/,1733103828,,,,,,,,,,,,,,,,A102,921,284.91,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:44:49.202104-Route 1,2024-12-02T01:44:49.202127,,hCl+AN3ccB8CAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8CAgAAAAAAAA==/,"""cd043bf4-0000-1100-0000-674d11110000""",attachments/,1733103889,,,,,,,,,,,,,,,,A4 and A315,1028,285.1,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:44:49.821654-Route 2,2024-12-02T01:44:49.821665,,hCl+AN3ccB8DAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8DAgAAAAAAAA==/,"""cd044ef4-0000-1100-0000-674d11110000""",attachments/,1733103889,,,,,,,,,,,,,,,,M4,1628,284.6,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:44:50.217876-Route 3,2024-12-02T01:44:50.217883,,hCl+AN3ccB8EAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8EAgAAAAAAAA==/,"""cd0462f4-0000-1100-0000-674d11120000""",attachments/,1733103890,,,,,,,,,,,,,,,,A102,923,284.91,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:45:51.136802-Route 1,2024-12-02T01:45:51.136824,,hCl+AN3ccB8FAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8FAgAAAAAAAA==/,"""ce04ba01-0000-1100-0000-674d114f0000""",attachments/,1733103951,,,,,,,,,,,,,,,,A4 and A315,1024,285.1,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:45:51.895894-Route 2,2024-12-02T01:45:51.895910,,hCl+AN3ccB8GAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8GAgAAAAAAAA==/,"""ce04db01-0000-1100-0000-674d114f0000""",attachments/,1733103951,,,,,,,,,,,,,,,,M4,1630,284.6,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:45:52.264905-Route 3,2024-12-02T01:45:52.264919,,hCl+AN3ccB8HAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8HAgAAAAAAAA==/,"""ce04e701-0000-1100-0000-674d11500000""",attachments/,1733103952,,,,,,,,,,,,,,,,A102,933,284.91,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:46:53.412630-Route 1,2024-12-02T01:46:53.412644,,hCl+AN3ccB8IAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8IAgAAAAAAAA==/,"""ce049c0e-0000-1100-0000-674d118d0000""",attachments/,1733104013,,,,,,,,,,,,,,,,A4 and A315,1021,285.01,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:46:54.130907-Route 2,2024-12-02T01:46:54.130917,,hCl+AN3ccB8JAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8JAgAAAAAAAA==/,"""ce04cc0e-0000-1100-0000-674d118e0000""",attachments/,1733104014,,,,,,,,,,,,,,,,M4,1621,284.6,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:46:54.545874-Route 3,2024-12-02T01:46:54.545883,,hCl+AN3ccB8KAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8KAgAAAAAAAA==/,"""ce04dd0e-0000-1100-0000-674d118e0000""",attachments/,1733104014,,,,,,,,,,,,,,,,A102,937,284.91,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:47:55.975967-Route 1,2024-12-02T01:47:55.976009,,hCl+AN3ccB8LAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8LAgAAAAAAAA==/,"""ce043c1b-0000-1100-0000-674d11cb0000""",attachments/,1733104075,,,,,,,,,,,,,,,,A4 and A315,1023,285.01,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:47:56.901537-Route 2,2024-12-02T01:47:56.901558,,hCl+AN3ccB8MAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8MAgAAAAAAAA==/,"""ce045e1b-0000-1100-0000-674d11cc0000""",attachments/,1733104076,,,,,,,,,,,,,,,,M4,1619,284.6,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:47:57.339116-Route 3,2024-12-02T01:47:57.339128,,hCl+AN3ccB8NAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8NAgAAAAAAAA==/,"""ce046f1b-0000-1100-0000-674d11cd0000""",attachments/,1733104077,,,,,,,,,,,,,,,,A102,917,284.91,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:48:58.393930-Route 1,2024-12-02T01:48:58.393952,,hCl+AN3ccB8OAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8OAgAAAAAAAA==/,"""ce049226-0000-1100-0000-674d120a0000""",attachments/,1733104138,,,,,,,,,,,,,,,,A4 and A315,1021,285.1,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:48:58.945381-Route 2,2024-12-02T01:48:58.945396,,hCl+AN3ccB8PAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8PAgAAAAAAAA==/,"""ce04ad26-0000-1100-0000-674d120a0000""",attachments/,1733104138,,,,,,,,,,,,,,,,M4,1608,284.58,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:48:59.332033-Route 3,2024-12-02T01:48:59.332049,,hCl+AN3ccB8QAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8QAgAAAAAAAA==/,"""ce04cd26-0000-1100-0000-674d120b0000""",attachments/,1733104139,,,,,,,,,,,,,,,,A102,913,284.86,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:50:00.549511-Route 1,2024-12-02T01:50:00.549556,,hCl+AN3ccB8RAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8RAgAAAAAAAA==/,"""ce04d831-0000-1100-0000-674d12480000""",attachments/,1733104200,,,,,,,,,,,,,,,,A4 and A315,1022,284.99,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:50:01.321613-Route 2,2024-12-02T01:50:01.321639,,hCl+AN3ccB8SAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8SAgAAAAAAAA==/,"""ce041d32-0000-1100-0000-674d12490000""",attachments/,1733104201,,,,,,,,,,,,,,,,M4,1595,284.58,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:50:01.764156-Route 3,2024-12-02T01:50:01.764177,,hCl+AN3ccB8TAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8TAgAAAAAAAA==/,"""ce043432-0000-1100-0000-674d12490000""",attachments/,1733104201,,,,,,,,,,,,,,,,A102,916,284.86,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:51:03.173399-Route 1,2024-12-02T01:51:03.173422,,hCl+AN3ccB8UAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8UAgAAAAAAAA==/,"""ce047c41-0000-1100-0000-674d12870000""",attachments/,1733104263,,,,,,,,,,,,,,,,A4 and A315,1027,284.99,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:51:04.195556-Route 2,2024-12-02T01:51:04.195567,,hCl+AN3ccB8VAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8VAgAAAAAAAA==/,"""ce04ba41-0000-1100-0000-674d12880000""",attachments/,1733104264,,,,,,,,,,,,,,,,M4,1601,284.58,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:51:04.613460-Route 3,2024-12-02T01:51:04.613471,,hCl+AN3ccB8WAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8WAgAAAAAAAA==/,"""ce04d441-0000-1100-0000-674d12880000""",attachments/,1733104264,,,,,,,,,,,,,,,,A102,914,284.86,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:52:05.634228-Route 1,2024-12-02T01:52:05.634248,,hCl+AN3ccB8XAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8XAgAAAAAAAA==/,"""ce04224d-0000-1100-0000-674d12c50000""",attachments/,1733104325,,,,,,,,,,,,,,,,A4 and A315,1024,284.99,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:52:06.349736-Route 2,2024-12-02T01:52:06.349759,,hCl+AN3ccB8YAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8YAgAAAAAAAA==/,"""ce04374d-0000-1100-0000-674d12c60000""",attachments/,1733104326,,,,,,,,,,,,,,,,M4,1601,284.58,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:52:06.781317-Route 3,2024-12-02T01:52:06.781329,,hCl+AN3ccB8ZAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8ZAgAAAAAAAA==/,"""ce043e4d-0000-1100-0000-674d12c60000""",attachments/,1733104326,,,,,,,,,,,,,,,,A102,916,284.86,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:53:08.001532-Route 1,2024-12-02T01:53:08.001551,,hCl+AN3ccB8aAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8aAgAAAAAAAA==/,"""ce041e59-0000-1100-0000-674d13040000""",attachments/,1733104388,,,,,,,,,,,,,,,,A4 and A315,1024,284.99,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:53:08.612873-Route 2,2024-12-02T01:53:08.612884,,hCl+AN3ccB8bAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8bAgAAAAAAAA==/,"""ce044859-0000-1100-0000-674d13040000""",attachments/,1733104388,,,,,,,,,,,,,,,,M4,1609,284.58,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:53:09.007972-Route 3,2024-12-02T01:53:09.007983,,hCl+AN3ccB8cAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8cAgAAAAAAAA==/,"""ce046259-0000-1100-0000-674d13050000""",attachments/,1733104389,,,,,,,,,,,,,,,,A102,915,284.86,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:54:10.136180-Route 1,2024-12-02T01:54:10.136200,,hCl+AN3ccB8dAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8dAgAAAAAAAA==/,"""ce042167-0000-1100-0000-674d13420000""",attachments/,1733104450,,,,,,,,,,,,,,,,A4 and A315,1025,284.99,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:54:10.858532-Route 2,2024-12-02T01:54:10.858552,,hCl+AN3ccB8eAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8eAgAAAAAAAA==/,"""ce043567-0000-1100-0000-674d13420000""",attachments/,1733104450,,,,,,,,,,,,,,,,M4,1608,284.58,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:54:11.426349-Route 3,2024-12-02T01:54:11.426361,,hCl+AN3ccB8fAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8fAgAAAAAAAA==/,"""ce043e67-0000-1100-0000-674d13430000""",attachments/,1733104451,,,,,,,,,,,,,,,,A102,918,284.86,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:55:12.502749-Route 1,2024-12-02T01:55:12.502769,,hCl+AN3ccB8gAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8gAgAAAAAAAA==/,"""ce041272-0000-1100-0000-674d13800000""",attachments/,1733104512,,,,,,,,,,,,,,,,A4 and A315,1027,284.99,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:55:13.122037-Route 2,2024-12-02T01:55:13.122053,,hCl+AN3ccB8hAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8hAgAAAAAAAA==/,"""ce043072-0000-1100-0000-674d13810000""",attachments/,1733104513,,,,,,,,,,,,,,,,M4,1621,284.58,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:55:13.517855-Route 3,2024-12-02T01:55:13.517873,,hCl+AN3ccB8iAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8iAgAAAAAAAA==/,"""ce044072-0000-1100-0000-674d13810000""",attachments/,1733104513,,,,,,,,,,,,,,,,A102,913,284.86,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:56:14.619608-Route 1,2024-12-02T01:56:14.619635,,hCl+AN3ccB8jAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8jAgAAAAAAAA==/,"""ce04bc7e-0000-1100-0000-674d13be0000""",attachments/,1733104574,,,,,,,,,,,,,,,,A4 and A315,1031,284.99,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:56:15.492598-Route 2,2024-12-02T01:56:15.492620,,hCl+AN3ccB8kAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8kAgAAAAAAAA==/,"""ce04d27e-0000-1100-0000-674d13bf0000""",attachments/,1733104575,,,,,,,,,,,,,,,,M4,1609,284.58,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:56:15.963908-Route 3,2024-12-02T01:56:15.963924,,hCl+AN3ccB8lAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8lAgAAAAAAAA==/,"""ce04dc7e-0000-1100-0000-674d13bf0000""",attachments/,1733104575,,,,,,,,,,,,,,,,A102,928,284.86,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T01:57:17.234323-Route 1,2024-12-02T01:57:17.234350,,hCl+AN3ccB8mAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8mAgAAAAAAAA==/,"""ce04938c-0000-1100-0000-674d13fd0000""",attachments/,1733104637,,,,,,,,,,,,,,,,A4 and A315,1027,284.99,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 1
data-2024-12-02T01:57:17.944556-Route 2,2024-12-02T01:57:17.944573,,hCl+AN3ccB8nAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8nAgAAAAAAAA==/,"""ce04a08c-0000-1100-0000-674d13fd0000""",attachments/,1733104637,,,,,,,,,,,,,,,,M4,1597,284.58,Clouds,0,0,1,220.3,0,4.63,59.37,1.94,0.96,1.71,0.26,Route 2
data-2024-12-02T01:57:18.367358-Route 3,2024-12-02T01:57:18.367373,,hCl+AN3ccB8oAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8oAgAAAAAAAA==/,"""ce04a98c-0000-1100-0000-674d13fe0000""",attachments/,1733104638,,,,,,,,,,,,,,,,A102,925,284.86,Clouds,0,0,1,223.64,0,7.97,57.22,4.17,1.17,1.94,0.22,Route 3
data-2024-12-02T14:00:37.166447-Route 1,2024-12-02T14:00:37.166483,,hCl+AN3ccB8pAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8pAgAAAAAAAA==/,"""2205897d-0000-1100-0000-674dbd850000""",attachments/,1733148037,,,,,,,,,,,,,,,,A40,1925,283.06,Clouds,0,0,2,226.97,0.43,9.68,67.95,3.99,0.68,0.99,0.58,Route 1
data-2024-12-02T14:00:38.095724-Route 2,2024-12-02T14:00:38.095735,,hCl+AN3ccB8qAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8qAgAAAAAAAA==/,"""2205227e-0000-1100-0000-674dbd860000""",attachments/,1733148038,,,,,,,,,,,,,,,,M4,2471,282.82,Clouds,0,0,2,220.3,0.22,5.4,72.24,1.68,0.5,0.71,0.5,Route 2
data-2024-12-02T14:00:38.562525-Route 3,2024-12-02T14:00:38.562533,,hCl+AN3ccB8rAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8rAgAAAAAAAA==/,"""2205647e-0000-1100-0000-674dbd860000""",attachments/,1733148038,,,,,,,,,,,,,,,,A102,1250,282.92,Clouds,0,0,2,226.97,0.43,9.68,67.95,3.99,0.68,0.99,0.58,Route 3
data-2024-12-02T14:01:39.813916-Route 1,2024-12-02T14:01:39.813928,,hCl+AN3ccB8sAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8sAgAAAAAAAA==/,"""2205e5a3-0000-1100-0000-674dbdc30000""",attachments/,1733148099,,,,,,,,,,,,,,,,A40,1885,283.06,Clouds,0,0,2,226.97,0.43,9.68,67.95,3.99,0.68,0.99,0.58,Route 1
data-2024-12-02T14:01:40.624036-Route 2,2024-12-02T14:01:40.624045,,hCl+AN3ccB8tAgAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB8tAgAAAAAAAA==/,"""220579a4-0000-1100-0000-674dbdc40000""",attachments/,1733148100,,,,,,,,,,,,,,,,M4,2466,282.82,Clouds,0,0,2,220.3,0.22,5.4,72.24,1.68,0.5,0.71,0.5,Route 2
